series_id,window_idx,window_start,window_end,timestamp_start,timestamp_end,attention_fingerprint,n_row_labels,n_token_labels,target_query_label,top_source_label,top_source_attention,time_attn_shape,group_attn_shape
load_26,103,2472,2496,2013-06-03 00:00:00,2013-06-03 23:00:00,f15a3744ebf3e2e0,71,14,target,target,0.0263624619692564,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,104,2496,2520,2013-06-04 00:00:00,2013-06-04 23:00:00,eeea2a34ad0efdc7,71,14,target,target,0.027487581595778465,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,105,2520,2544,2013-06-05 00:00:00,2013-06-05 23:00:00,8541d12e37275687,71,14,target,target,0.028930118307471275,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,106,2544,2568,2013-06-07 00:00:00,2013-06-07 23:00:00,4e6bf7d1f5691899,71,14,target,target,0.027858765795826912,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,107,2568,2592,2013-06-10 00:00:00,2013-06-10 23:00:00,f5cf976a4c303328,71,14,target,target,0.02699895203113556,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,108,2592,2616,2013-06-11 00:00:00,2013-06-11 23:00:00,b59f15eba9cd8945,71,14,target,known_future:rhum,0.027437712997198105,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,109,2616,2640,2013-06-12 00:00:00,2013-06-12 23:00:00,773ba289152eaada,71,14,target,target,0.026767540723085403,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,110,2640,2664,2013-06-13 00:00:00,2013-06-13 23:00:00,ddd9d1ec96e88cdf,71,14,target,target,0.025693602859973907,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,111,2664,2688,2013-06-14 00:00:00,2013-06-14 23:00:00,19b0b0b782397449,71,14,target,target,0.026246264576911926,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,112,2688,2712,2013-06-17 00:00:00,2013-06-17 23:00:00,d2bf735cfacc93af,71,14,target,known_future:rhum,0.02696504257619381,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,113,2712,2736,2013-06-18 00:00:00,2013-06-18 23:00:00,a483452d800504f4,71,14,target,target,0.026761172339320183,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,114,2736,2760,2013-06-19 00:00:00,2013-06-19 23:00:00,f578464bda763708,71,14,target,target,0.027226509526371956,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,115,2760,2784,2013-06-20 00:00:00,2013-06-20 23:00:00,eca26028ead4fa9a,71,14,target,target,0.027460766956210136,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,116,2784,2808,2013-06-21 00:00:00,2013-06-21 23:00:00,5226d9bd249f8a75,71,14,target,target,0.027723168954253197,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,117,2808,2832,2013-06-24 00:00:00,2013-06-24 23:00:00,278bc00e919ab137,71,14,target,target,0.025441652163863182,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,118,2832,2856,2013-06-25 00:00:00,2013-06-25 23:00:00,9f26a6d6c405cd5a,71,14,target,target,0.026202216744422913,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,119,2856,2880,2013-06-26 00:00:00,2013-06-26 23:00:00,0fab8e0f65c643b3,71,14,target,target,0.02737191505730152,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,120,2880,2904,2013-06-27 00:00:00,2013-06-27 23:00:00,0fe267944d1d649e,71,14,target,known_future:temp,0.025742387399077415,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,121,2904,2928,2013-06-28 00:00:00,2013-06-28 23:00:00,a76adb1ac1d96396,71,14,target,known_future:temp,0.027189180254936218,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,122,2928,2952,2013-07-01 00:00:00,2013-07-01 23:00:00,060763e403d20656,71,14,target,known_future:temp,0.025963129475712776,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,123,2952,2976,2013-07-02 00:00:00,2013-07-02 23:00:00,5e2cd1f5c2c9ef6a,71,14,target,target,0.027228951454162598,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,124,2976,3000,2013-07-03 00:00:00,2013-07-03 23:00:00,9a823eea9470b321,71,14,target,target,0.027904704213142395,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,125,3000,3024,2013-07-04 00:00:00,2013-07-04 23:00:00,ecb0dd0462c315fd,71,14,target,target,0.02704104594886303,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,126,3024,3048,2013-07-05 00:00:00,2013-07-05 23:00:00,1c11c79de71ecad2,71,14,target,target,0.027507459744811058,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,127,3048,3072,2013-07-08 00:00:00,2013-07-08 23:00:00,c2698f3d1d293afd,71,14,target,target,0.02779533341526985,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,128,3072,3096,2013-07-09 00:00:00,2013-07-09 23:00:00,983dc2d1931c3c43,71,14,target,target,0.028867293149232864,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,129,3096,3120,2013-07-10 00:00:00,2013-07-10 23:00:00,15e47e1df0d96a4f,71,14,target,target,0.02961692400276661,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,130,3120,3144,2013-07-11 00:00:00,2013-07-11 23:00:00,236e9e8557097747,71,14,target,target,0.02873961441218853,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,131,3144,3168,2013-07-12 00:00:00,2013-07-12 23:00:00,5bf56170ef49fe74,71,14,target,target,0.03038351610302925,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,132,3168,3192,2013-07-15 00:00:00,2013-07-15 23:00:00,954df049df257dc4,71,14,target,target,0.029865792021155357,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
